entity_id,entity_name,segment,priority_score,avg_risk_score,avg_quality_score,estimated_impact
UND022,Underwriting segment 22,Growth,98.39,49.9,81.0,858979
UND023,Underwriting segment 23,Growth,94.91,51.1,79.4,792899
UND011,Underwriting segment 11,Strategic,84.84,50.8,80.0,657320
UND024,Underwriting segment 24,Core,84.69,52.3,80.4,644243
UND016,Underwriting segment 16,Strategic,83.96,49.5,81.3,661937
UND036,Underwriting segment 36,Core,83.39,51.7,79.8,627780
UND029,Underwriting segment 29,Growth,82.88,47.5,79.5,655947
UND019,Underwriting segment 19,Growth,81.19,52.4,81.1,597428
UND026,Underwriting segment 26,Watch,81.08,50.6,81.5,612739
UND017,Underwriting segment 17,Growth,81.07,51.7,79.5,594263
UND009,Underwriting segment 9,Growth,79.61,51.8,81.5,582170
UND030,Underwriting segment 30,Strategic,79.34,51.8,80.4,573325
UND008,Underwriting segment 8,Watch,78.81,49.7,79.9,582042
UND004,Underwriting segment 4,Growth,78.45,49.9,80.9,579571
UND002,Underwriting segment 2,Watch,78.06,48.8,81.1,584734
UND020,Underwriting segment 20,Core,77.37,50.5,81.4,562029
UND007,Underwriting segment 7,Core,77.21,51.5,80.6,546753
UND021,Underwriting segment 21,Watch,77.06,50.5,80.2,551704
UND005,Underwriting segment 5,Strategic,76.76,52.1,81.2,538228
UND032,Underwriting segment 32,Growth,76.18,48.9,80.0,551991
UND027,Underwriting segment 27,Core,76.06,48.8,81.6,559027
UND001,Underwriting segment 1,Strategic,75.70,49.1,80.6,546305
UND006,Underwriting segment 6,Strategic,75.57,51.8,80.1,518932
UND013,Underwriting segment 13,Strategic,75.47,49.8,82.0,543356
UND010,Underwriting segment 10,Watch,74.09,52.5,79.2,488893
